"","X","Y","G","head","foot.l","foot.r","pen","free.k","set.p","corner","fast.break","Xg","Yg"
"1",23.1,72.6,0,0,0,1,0,0,0,0,0,0.5,0.75
"6",9.09999999999999,28.2,0,0,0,1,0,0,0,1,0,0.53125,0.534210526315789
"7",17.7,86.1,0,0,0,1,0,1,0,0,0,0.708333333333333,0.0157894736842105
"9",22.1,56,0,0,1,0,0,0,0,0,0,0.8125,0.0157894736842105
"19",8.8,39.2,0,0,0,1,0,0,0,0,0,0.0104166666666661,0.0842105263157895
"21",6.3,51.5,1,1,0,0,0,0,0,0,0,0.0624999999999994,0.434210526315789
"28",4.09999999999999,30.3,0,0,0,1,0,0,0,0,0,0.635416666666666,0.534210526315789
"29",10.7,43.9,1,0,0,1,0,0,0,1,0,0.864583333333334,0.434210526315789
"33",2.40000000000001,51.3,1,0,0,1,0,0,0,1,0,0.395833333333333,0.0842105263157895
"34",8.8,69.9,0,0,0,1,0,0,0,0,0,0.427083333333333,0.165789473684211
"42",23.1,57.7,0,0,1,0,0,0,0,0,0,0.25,0.184210526315789
"48",17,46.2,1,0,0,1,0,0,0,0,0,0.21875,0.05
"52",12.9,52.1,1,0,1,0,0,0,0,1,0,0.885416666666667,0.265789473684211
"54",23.1,54.8,0,0,0,1,0,0,0,0,0,0.416666666666667,0.61578947368421
"55",20.8,31.5,1,0,1,0,0,0,0,0,0,0.90625,0.831578947368421
"62",12.1,52.8,1,0,0,1,0,0,0,0,0,0.145833333333333,0.565789473684211
"63",8.40000000000001,27.2,1,0,0,1,0,0,0,0,0,0.114583333333333,0.365789473684211
"65",12.6,42.9,1,0,0,1,0,0,0,0,0,0.8125,0.184210526315789
"67",5.40000000000001,54.2,0,1,0,0,0,0,0,1,0,0.875,0.415789473684211
"72",17.3,70.2,0,0,0,1,0,0,0,0,0,0.427083333333333,0.284210526315789
"75",10.7,59.8,0,0,0,1,0,0,0,0,0,0.614583333333334,0.0157894736842105
"82",12.8,30.7,0,0,0,1,0,0,0,0,0,0.395833333333333,0.1
"83",27.1,70.7,0,0,1,0,0,0,0,0,0,0.739583333333333,0.584210526315789
"86",9.90000000000001,51.3,0,1,0,0,0,0,0,1,0,0.875,0.8
"87",13.4,51.3,0,1,0,0,0,0,0,0,0,0.645833333333333,0.315789473684211
"89",28.8,64.8,0,0,0,1,0,0,0,0,0,0.572916666666667,0.35
"90",12.7,49.6,1,0,0,1,0,0,0,0,0,0.78125,0.0842105263157895
"99",8.8,55,0,1,0,0,0,0,0,1,0,0.208333333333333,0.515789473684211
"104",1.5,42.8,1,1,0,0,0,0,1,0,0,0.416666666666667,0.2
"107",7.7,35,0,0,0,1,0,0,0,0,0,0.427083333333333,0.0736842105263158
"108",12.1,33.6,1,0,0,1,0,0,0,0,1,0.979166666666667,0.1
"109",21.7,65.8,1,0,0,1,0,0,0,0,0,0.885416666666667,0.0342105263157895
"113",11.5,50,1,0,0,1,1,0,0,0,0,0.0624999999999994,0.265789473684211
"114",24.9,69,0,0,0,1,0,0,0,0,0,0.833333333333334,0.384210526315789
"117",9.40000000000001,45.2,1,0,1,0,0,0,0,0,0,0.770833333333334,0.134210526315789
"122",20.3,31,0,0,1,0,0,0,0,0,0,0.1875,0.184210526315789
"123",13,49.6,0,0,0,1,0,0,0,0,0,0.541666666666667,0.0842105263157895
"125",11.5,50,1,0,0,1,1,0,0,0,0,0.135416666666666,0.134210526315789
"131",6.90000000000001,36.9,0,1,0,0,0,0,0,0,0,0.447916666666667,0.515789473684211
"132",19.3,48.8,1,0,1,0,0,0,0,0,1,0.885416666666667,0.215789473684211
"133",19.5,49.7,0,0,1,0,0,0,0,0,0,0.53125,0.215789473684211
"136",17.8,32.8,0,0,0,1,0,0,0,0,0,0.864583333333334,0.1
"143",7.7,41.7,0,0,0,1,0,0,0,0,0,0.395833333333333,0.0657894736842105
"154",25.6,56.1,0,0,0,1,0,0,0,0,0,0.5,0.25
"158",6.40000000000001,51.2,0,0,1,0,0,0,0,0,0,0.541666666666667,0.0157894736842105
"165",23.1,21.5,0,0,1,0,0,0,0,0,0,0.145833333333333,0.184210526315789
"176",9.5,31.3,1,0,1,0,0,0,0,0,0,0.84375,0.0157894736842105
"185",10.5,50.1,1,0,1,0,0,0,0,0,0,0.166666666666666,0.0157894736842105
"187",20.9,47.2,0,0,0,1,0,0,0,0,0,0.541666666666667,0.365789473684211
"200",23,51.1,0,0,0,1,0,0,0,0,0,0.0833333333333331,0.415789473684211
"203",20,76.9,0,0,0,1,0,0,0,0,0,0.114583333333333,0.434210526315789
"204",8.3,54.4,0,1,0,0,0,0,0,0,0,0.614583333333334,0.415789473684211
"206",27.1,35.3,0,0,0,1,0,0,0,0,0,0.5,0.115789473684211
"215",22.6,31.2,0,0,1,0,0,0,0,0,0,0.427083333333333,0.25
"216",9,37.5,0,0,0,1,0,0,0,0,0,0.270833333333333,0.4
"224",15.1,62,0,0,0,1,0,0,0,0,0,0.697916666666667,0.0157894736842105
"225",6.7,49.1,1,0,0,1,0,0,0,0,0,0.635416666666666,0.484210526315789
"228",15.4,38.5,0,0,1,0,0,0,0,0,0,0.729166666666667,0.0342105263157895
"235",20,70.7,0,0,1,0,0,0,0,0,0,0.541666666666667,0.0842105263157895
"243",11.5,50,1,0,0,1,1,0,0,0,0,0.864583333333334,0.1
"246",10.3,79.4,0,0,0,1,0,0,1,0,0,0.770833333333334,0.184210526315789
"257",12.3,50.3,0,0,0,1,0,0,0,0,0,0.614583333333334,0.384210526315789
"258",2.40000000000001,39.5,1,1,0,0,0,0,0,0,0,0.90625,0.35
"266",3.7,46,0,1,0,0,0,0,0,0,0,0.385416666666666,0.3
"267",4.3,65.6,0,1,0,0,0,0,0,0,0,0.71875,0.95
"274",18.7,35.7,0,0,0,1,0,0,0,0,0,0.114583333333333,0.434210526315789
"275",9.8,36.1,0,0,0,1,0,0,0,0,0,0.59375,0.25
"276",12.5,54.4,0,1,0,0,0,0,0,1,0,0.427083333333333,0.881578947368421
"280",9.40000000000001,54.4,0,1,0,0,0,0,0,0,0,0.333333333333333,0.45
"283",5.59999999999999,53.7,1,1,0,0,0,0,1,0,0,0.270833333333333,0.234210526315789
"289",2.90000000000001,45.6,0,0,0,1,0,0,0,0,0,0.15625,0.3
"292",11.2,56.6,1,1,0,0,0,0,0,0,0,0.270833333333333,0.95
"293",7.09999999999999,57.4,0,0,0,1,0,0,0,0,1,0.614583333333334,0.0842105263157895
"297",7.5,32.6,1,0,0,1,0,0,0,0,0,0.541666666666667,0.765789473684211
"298",7.5,53.4,1,0,0,1,0,0,0,0,0,0.364583333333334,0.5
"299",2.8,60.4,0,0,0,1,0,0,0,1,0,0.625,0.839473684210526
"304",13.9,43.3,1,0,0,1,0,0,0,0,0,0.895833333333333,0.0342105263157895
"307",13.1,53.2,1,0,0,1,0,0,0,0,0,0.916666666666667,0.0342105263157895
"313",7.7,42.3,1,0,0,1,0,0,0,0,0,0.4375,0.1
"323",16,46.8,0,0,0,1,0,0,0,0,0,0.5,0.0342105263157895
"326",10.7,37.2,0,0,0,1,0,0,0,0,0,0.302083333333333,0.0657894736842105
"331",9.5,42,1,0,1,0,0,0,0,0,0,0.260416666666667,0.0657894736842105
"332",8.40000000000001,47.2,1,1,0,0,0,0,1,0,0,0.0208333333333329,0.384210526315789
"339",3.3,47.2,1,0,0,1,0,0,0,0,0,0.385416666666666,0.3
"342",29.1,28.7,0,0,0,1,0,1,0,0,0,0.395833333333333,0.115789473684211
"349",9.3,47.8,1,0,0,1,0,0,0,0,0,0.208333333333333,0.0157894736842105
"351",4.8,59.1,1,1,0,0,0,0,0,0,0,0.822916666666667,0.45
"354",24.8,61.2,0,0,1,0,0,0,0,0,0,0.489583333333333,0.115789473684211
"362",3.8,59.1,1,0,1,0,0,0,1,0,0,0.927083333333334,0.0342105263157895
"363",10,68.2,0,0,0,1,0,0,0,0,0,0.697916666666667,0.0342105263157895
"364",9.40000000000001,44.7,1,0,0,1,0,0,0,0,0,0.895833333333333,0.134210526315789
"376",8,44.6,1,1,0,0,0,0,0,0,0,0.270833333333333,0.365789473684211
"377",3.59999999999999,57.1,1,1,0,0,0,0,0,1,0,0.46875,0.484210526315789
"380",18.5,43.7,1,0,0,1,0,0,0,0,0,0.947916666666667,0.0842105263157895
"381",13.4,35.2,1,0,0,1,0,0,0,0,0,0.947916666666667,0.0342105263157895
"383",9.2,46.6,1,1,0,0,0,0,0,0,0,0.104166666666667,0.384210526315789
"386",4.09999999999999,57.9,0,0,1,0,0,0,0,0,0,0.1875,0.0157894736842105
"387",4.59999999999999,46.6,0,0,0,0,0,0,0,0,0,0.604166666666667,0.1
"393",24.9,56.9,0,0,1,0,0,0,0,0,0,0.697916666666667,0.365789473684211
"407",8.90000000000001,61.8,0,0,0,1,0,0,0,0,0,0.645833333333333,0.805263157894737
"408",7.7,44.3,0,1,0,0,0,0,0,0,0,0.666666666666667,0.547368421052632
"410",7.09999999999999,53.6,1,0,1,0,0,0,0,0,0,0.760416666666667,0.0157894736842105
"414",8.5,42.9,0,1,0,0,0,0,0,0,0,0.5625,0.0342105263157895
"415",4.40000000000001,31.5,0,0,0,1,0,0,0,0,0,0.0729166666666663,0.15
"425",25,54.5,0,0,1,0,0,0,0,0,0,0.541666666666667,0.434210526315789
"436",7.40000000000001,44.8,0,0,0,1,0,0,0,0,0,0.375,0.0842105263157895
"437",23.3,71.5,1,0,0,1,0,0,0,0,0,0.302083333333333,0.365789473684211
"441",13,42.5,0,0,0,1,0,0,0,0,1,0.697916666666667,0.115789473684211
"442",17.8,46.2,0,0,0,1,0,0,1,0,0,0.708333333333333,0.4
"448",5.8,40.1,0,0,0,1,0,0,0,0,0,0.354166666666667,0.3
"450",29.5,56.9,0,0,0,1,0,0,0,0,0,0.395833333333333,0.15
"453",12.5,58.3,1,0,0,1,0,0,0,0,0,0.114583333333333,0.0842105263157895
"456",9.90000000000001,44.8,0,1,0,0,0,0,0,0,0,0.177083333333333,0.805263157894737
"458",6.3,30.5,0,0,0,1,0,0,0,0,0,0.65625,0.234210526315789
"460",10.8,58.7,1,1,0,0,0,0,0,0,0,0.0833333333333331,0.384210526315789
"461",6.7,61.1,0,0,0,1,0,0,0,0,0,0.489583333333333,0.234210526315789
"465",3.90000000000001,51.5,1,0,1,0,0,0,0,0,0,0.458333333333333,0.05
"473",19,12.1,0,0,1,0,0,0,0,0,0,0.0312499999999997,0.0657894736842105
"477",26.4,71.4,0,0,0,1,0,0,0,0,0,0.5,0.484210526315789
"478",8,51.9,0,1,0,0,0,0,0,1,0,0.572916666666667,0.5
"482",12.2,38.7,1,0,0,1,0,0,0,0,0,0.145833333333333,0.2
"484",8.40000000000001,39.8,0,0,0,1,0,0,0,1,0,0.572916666666667,0.465789473684211
"485",7.09999999999999,32.2,0,0,0,1,0,0,0,1,0,0.40625,0.434210526315789
"490",13.1,61.4,0,0,0,1,0,0,0,0,0,0.1875,0.0157894736842105
"498",8.40000000000001,59.3,0,0,1,0,0,0,0,0,0,0.697916666666667,0.484210526315789
"499",19.7,70.9,1,0,0,1,0,0,0,0,0,0.0312499999999997,0.831578947368421
"501",8.09999999999999,56.2,1,0,0,1,0,0,0,0,0,0.270833333333333,0.0342105263157895
"503",23.3,36.2,1,0,1,0,0,1,0,0,0,0.0624999999999994,0.831578947368421
"516",19.6,39.7,0,0,1,0,0,0,1,0,0,0.34375,0.15
"518",6.90000000000001,47.4,0,1,0,0,0,0,0,1,0,0.697916666666667,0.1
"528",9.90000000000001,39.3,1,0,0,1,0,0,0,0,0,0.239583333333333,0.0342105263157895
"529",9.09999999999999,57,0,1,0,0,0,0,0,1,0,0.59375,0.85
"530",10.8,41.7,0,0,1,0,0,0,0,0,0,0.604166666666667,0.165789473684211
"534",3.7,45.6,1,0,0,1,0,0,0,1,0,0.635416666666666,0.0657894736842105
"535",4.7,56.3,0,1,0,0,0,0,1,0,0,0.8125,0.61578947368421
"536",4.7,40.2,1,1,0,0,0,0,1,0,0,0.333333333333333,0.184210526315789
"542",13.2,53.2,0,0,1,0,0,0,0,1,0,0.46875,0.0157894736842105
"544",11.5,50,1,0,0,1,1,0,0,0,0,0.0937499999999999,0.55
"547",22.2,35,0,0,1,0,0,0,0,1,0,0.479166666666666,0.25
"550",15.1,56.2,1,0,1,0,0,0,0,0,0,0.875,0.2
"552",11.9,47.6,0,1,0,0,0,0,1,0,0,0.666666666666667,0.25
"554",13.9,66.7,0,0,1,0,0,0,1,0,0,0.53125,0.115789473684211
"558",28.7,64.6,0,0,0,1,0,0,0,0,0,0.78125,0.315789473684211
"562",23.8,62.5,1,0,1,0,0,0,0,0,0,0.885416666666667,0.2
"564",7.09999999999999,72.3,0,0,1,0,0,0,0,0,1,0.90625,0.115789473684211
"565",28.9,41.7,0,0,1,0,0,0,0,0,0,0.541666666666667,0.5
"568",7.2,66.7,0,0,0,1,0,0,0,1,0,0.96875,0.134210526315789
"569",23.5,28.7,0,0,1,0,0,0,0,0,0,0.302083333333333,0.05
"571",14.1,52,0,0,0,1,0,0,0,0,0,0.520833333333334,0.805263157894737
"582",9.2,45.4,1,0,0,1,0,0,1,0,0,0.125,0.63421052631579
"587",9.90000000000001,24.4,0,0,0,1,0,0,0,0,0,0.145833333333333,0.05
"589",25.5,27.7,0,0,1,0,0,0,0,0,0,0.322916666666666,0.85
"591",22.9,28.2,0,0,0,1,0,0,0,0,0,0.854166666666667,0.115789473684211
"593",14.1,28.8,0,0,1,0,0,0,0,0,0,0.34375,0.0342105263157895
"597",14.1,68.5,0,0,1,0,0,0,0,0,0,0.34375,0.584210526315789
"600",24.2,54.8,0,0,1,0,0,0,0,0,0,0.885416666666667,0.165789473684211
"602",5,51,1,0,0,1,0,0,0,0,0,0.552083333333333,0.165789473684211
"603",14.6,68.2,0,0,1,0,0,0,0,0,0,0.625,0.2
"607",6.7,58.1,1,1,0,0,0,0,1,0,0,0.333333333333333,0.815789473684211
"625",7.3,45.4,0,1,0,0,0,0,0,0,0,0.479166666666666,0.4
"627",20.4,68.1,0,0,0,1,0,0,0,0,0,0.65625,0.0657894736842105
"630",13.9,63.8,1,0,0,1,0,0,0,0,0,0.270833333333333,0.0657894736842105
"631",26,45.6,0,0,0,1,0,0,0,0,0,0.0937499999999999,0.215789473684211
"634",19.7,65.3,0,0,0,1,0,0,0,0,0,0.489583333333333,0.565789473684211
"635",4.59999999999999,54,1,0,0,1,0,0,0,0,0,0.854166666666667,0.61578947368421
"636",8.2,25.2,0,0,0,1,0,0,0,0,1,0.916666666666667,0.55
"637",8,51.8,1,0,1,0,0,0,0,0,0,0.875,0.85
"643",30.6,52.3,1,0,1,0,0,0,0,1,0,0.104166666666667,0.15
"645",11.2,47.4,0,0,0,1,0,0,0,0,0,0.6875,0.184210526315789
"647",21.9,52,0,0,0,1,0,0,0,0,0,0.5,0.184210526315789
"648",14.4,53.4,1,0,0,1,0,0,0,0,1,0.864583333333334,0.115789473684211
"654",13.9,39.8,0,0,0,1,0,0,0,0,0,0.0312499999999997,0.334210526315789
"664",25.6,33.4,0,0,0,1,0,0,0,0,0,0.635416666666666,0.665789473684211
"668",22.5,47.2,0,0,0,1,0,0,0,0,0,0.770833333333334,0.0842105263157895
"669",11.5,49.9,1,0,0,1,1,0,0,0,0,0.84375,0.0342105263157895
"671",5.40000000000001,41.5,1,0,1,0,0,0,0,0,1,0.260416666666667,0.0842105263157895
"673",25.5,68,1,0,0,1,0,1,0,0,0,0.916666666666667,0.25
"678",4.90000000000001,60.2,0,0,1,0,0,0,1,0,0,0.8125,0.2
"684",14.6,41.7,1,0,0,1,0,0,0,0,0,0.947916666666667,0.15
"685",7.09999999999999,43.4,1,1,0,0,0,0,0,0,0,0.937500000000001,0.715789473684211
"689",19.6,31.3,0,0,1,0,0,0,0,0,0,0.770833333333334,0.265789473684211
"691",14.5,49.5,0,0,0,1,0,0,0,0,0,0.5625,0.25
"692",1.90000000000001,53.1,1,0,0,1,0,0,0,0,0,0.8125,0.115789473684211
"693",10.5,29.6,0,0,0,1,0,0,0,0,0,0.666666666666667,0.0842105263157895
"694",22.7,33.1,0,0,1,0,0,1,0,0,0,0.0520833333333334,0.731578947368421
"696",14.3,43.7,1,0,0,1,0,0,0,0,0,0.302083333333333,0.0657894736842105
"699",20.9,59.8,0,0,0,1,0,0,0,0,0,0.65625,0.0842105263157895
"703",17.9,55,0,0,0,1,0,0,0,0,0,0.760416666666667,0.831578947368421
"707",11,45,1,0,0,1,0,0,0,0,0,0.822916666666667,0.63421052631579
"708",5,57.2,0,1,0,0,0,0,0,0,0,0.34375,0.384210526315789
"714",12.1,73.4,0,0,1,0,0,0,0,1,0,0.114583333333333,0.731578947368421
"718",19.3,68.5,0,0,1,0,0,0,0,0,0,0.802083333333333,0.831578947368421
"722",10.4,62.4,1,0,0,1,0,0,0,0,0,0.145833333333333,0.35
"723",7.3,63.9,0,0,1,0,0,0,0,0,0,0.385416666666666,0.0657894736842105
"729",9.40000000000001,40.2,1,0,1,0,0,0,0,0,0,0.239583333333333,0.05
"732",27.1,32.2,0,0,1,0,0,0,0,0,0,0.96875,0.115789473684211
"739",7.3,37.5,1,0,0,1,0,0,0,0,0,0.937500000000001,0.315789473684211
"743",27.5,50.3,0,0,0,1,0,0,0,0,0,0.541666666666667,0.534210526315789
"745",5.2,35,0,0,0,1,0,0,0,0,0,0.0520833333333334,0.05
"747",4.59999999999999,58.7,1,1,0,0,0,0,0,0,0,0.145833333333333,0.115789473684211
"749",11.8,61,0,0,0,1,0,0,0,0,0,0.885416666666667,0.0342105263157895
"750",4.40000000000001,49.7,1,0,0,1,0,0,0,0,0,0.510416666666667,0.134210526315789
"752",22.2,25,0,0,0,1,0,0,0,1,0,0.197916666666667,0.815789473684211
"757",21.9,30.5,1,0,1,0,0,0,0,0,0,0.0624999999999994,0.1
"763",22.2,58.1,0,0,0,1,0,0,0,0,0,0.21875,0.365789473684211
"764",20.8,35.2,0,0,0,1,0,0,0,0,0,0.604166666666667,0.215789473684211
"766",14.3,28,0,0,1,0,0,0,0,0,0,0.0833333333333331,0.0342105263157895
"769",6.3,47.2,1,0,0,1,0,0,0,0,0,0.302083333333333,0.05
"770",14.4,54.6,0,0,1,0,0,0,0,0,0,0.708333333333333,0.165789473684211
"773",21.5,40.4,0,0,0,1,0,0,0,0,0,0.114583333333333,0.1
"774",16.5,45,0,0,0,1,0,0,0,0,0,0.416666666666667,0.184210526315789
"777",20.4,39.1,0,0,1,0,0,0,0,0,0,0.5625,0.4
"779",4.3,40.6,1,0,0,1,0,0,0,0,0,0.541666666666667,0.534210526315789
"781",9.2,55,0,0,0,1,0,0,0,0,0,0.5,0.6
"786",11,66,0,0,1,0,0,0,0,0,0,0.625,0.3
"788",3.09999999999999,30.9,0,0,0,1,0,0,0,0,0,0.208333333333333,0.515789473684211
"797",23.5,59,0,0,0,1,0,0,0,0,0,0.947916666666667,0.0842105263157895
"800",7.09999999999999,31.6,0,0,0,1,0,0,0,0,0,0.40625,0.115789473684211
"801",14.9,37,0,0,0,1,0,0,0,0,0,0.40625,0.565789473684211
"810",22.3,72.2,0,0,0,1,0,0,0,0,0,0.916666666666667,0.0157894736842105
"813",12.8,42.5,1,0,0,1,0,0,0,0,0,0.8125,0.1
"820",11.5,50,1,0,1,0,1,0,0,0,0,0.0520833333333334,0.0657894736842105
"821",11.5,50,1,0,1,0,1,0,0,0,0,0.96875,0.05
"826",19.2,29.1,0,0,1,0,0,0,0,0,0,0.677083333333334,0.0657894736842105
"830",27.2,50.1,0,0,0,1,0,0,0,0,0,0.0729166666666663,0.265789473684211
"841",12.1,75.3,0,0,0,1,0,0,0,0,0,0.114583333333333,0.8
"848",8.2,59.1,0,0,0,1,0,0,0,0,0,0.666666666666667,0.165789473684211
"857",9.3,47.8,1,0,0,1,0,0,0,0,0,0.458333333333333,0.0157894736842105
"859",11.5,45.5,1,0,0,1,0,0,0,0,0,0.541666666666667,0.931578947368421
"863",2.7,59.1,0,1,0,0,0,0,0,1,0,0.875,0.384210526315789
"864",9.59999999999999,41,0,0,0,1,0,0,0,0,0,0.541666666666667,0.35
"866",4.90000000000001,54.4,1,0,0,1,0,0,0,0,0,0.875,0.05
"868",10.8,50.1,0,1,0,0,0,0,1,0,0,0.0937499999999999,0.881578947368421
"881",9,49.7,1,1,0,0,0,0,1,0,0,0.958333333333333,0.115789473684211
"886",23.4,71.7,1,0,0,1,0,0,0,0,0,0.885416666666667,0.0157894736842105
"888",3.5,44.8,1,0,1,0,0,0,0,0,0,0.25,0.831578947368421
"890",28.3,30.7,0,0,0,1,0,0,0,0,0,0.5625,0.25
"896",7.40000000000001,32.3,1,0,0,1,0,0,0,0,1,0.479166666666666,0.565789473684211
"905",6.90000000000001,54.2,0,0,0,0,0,0,0,0,0,0.739583333333333,0.134210526315789
"906",10.8,35.8,0,0,0,1,0,0,0,0,0,0.197916666666667,0.05
"915",6.7,50.4,0,1,0,0,0,0,0,0,0,0.208333333333333,0.465789473684211
"917",4.09999999999999,27.2,0,0,0,1,0,0,0,0,0,0.760416666666667,0.05
"918",12.5,42.3,0,1,0,0,0,0,0,0,0,0.645833333333333,0.55
"923",22,74.1,1,0,0,1,0,1,0,0,0,0.0416666666666665,0.5
"929",11.3,35.6,0,0,1,0,0,0,0,0,0,0.583333333333333,0.45
"932",8.90000000000001,44,0,0,0,1,0,0,0,0,0,0.364583333333334,0.265789473684211
"935",9.40000000000001,73.6,0,0,0,1,0,0,0,1,0,0.854166666666667,0.15
"936",10.7,47.6,0,0,0,1,0,0,0,0,0,0.229166666666666,0.05
"938",11.5,50,1,0,0,1,1,0,0,0,0,0.958333333333333,0.75
"939",14.1,28.3,0,0,1,0,0,0,0,0,0,0.302083333333333,0.0842105263157895
"943",25.3,34.4,0,0,0,1,0,0,0,0,0,0.166666666666666,0.3
"945",27.9,45.2,1,0,0,1,0,0,0,0,0,0.927083333333334,0.6
"951",26,29.6,0,0,1,0,0,1,0,0,0,0.604166666666667,0.665789473684211
"953",26.4,52,0,0,0,1,0,0,0,0,0,0.78125,0.265789473684211
"980",18.5,69.7,0,0,0,1,0,0,0,0,0,0.760416666666667,0.1
"982",14.6,66.8,0,0,0,1,0,0,0,0,0,0.677083333333334,0.35
"983",23.3,59.1,1,0,1,0,0,0,0,0,0,0.947916666666667,0.881578947368421
"991",10.4,41.5,0,1,0,0,0,0,0,0,0,0.864583333333334,0.831578947368421
"999",6.5,60.5,0,1,0,0,0,0,0,0,0,0.614583333333334,0.165789473684211
"1000",16,27,0,0,0,1,0,0,0,0,0,0.145833333333333,0.45
